,player,rating,kills,ok,kost,kpr,srv,1vx,plant,hs,atk,def
6,BAROQUE,1.32,13-9 (+4),4-1 (+3),67%,1.08,25%,0,1,42%,Zofia,Valkyrie
7,TZK,0.72,4-9 (-5),0-0 (+0),50%,0.33,25%,0,1,100%,Hibana,Echo
8,GANJO,1.59,15-7 (+8),1-2 (-1),58%,1.25,42%,2,0,36%,Ash,Mozzie
9,SYAF,1.27,11-8 (+3),0-1 (-1),75%,0.92,33%,0,0,36%,Thatcher,Bandit
0,LUNARMETAL,1.52,11-4 (+7),2-1 (+1),91%,1,64%,0,0,45%,Ash,Valkyrie
1,YSAERA,1.31,10-4 (+6),0-1 (-1),82%,0.91,64%,0,0,56%,Thermite,Vigil
2,HYSTERIX,0.77,7-9 (-2),2-4 (-2),55%,0.64,18%,0,0,83%,Zofia,Ela
3,SPEAKEASY,1.14,9-7 (+2),1-0 (+1),73%,0.82,36%,0,0,22%,Capitao,Jager
4,REDSUN,0.74,4-9 (-5),1-2 (-1),55%,0.36,18%,1,0,25%,Capitao,Valkyrie
5,SCATMAN,0.65,6-10 (-4),0-0 (+0),45%,0.55,9%,0,0,50%,Thatcher,Kaid
6,WARBARK,0.61,3-7 (-4),0-1 (-1),45%,0.27,36%,1,0,67%,Hibana,Maestro
7,KIRISAKU,1.27,12-10 (+2),2-0 (+2),91%,1.09,9%,0,0,42%,Thermite,Jager
8,PEW,0.92,6-9 (-3),3-2 (+1),73%,0.55,18%,0,1,50%,Zofia,Vigil
9,JRDN,1.07,8-7 (+1),0-0 (+0),82%,0.73,36%,0,0,38%,IQ,Smoke
0,LUNARMETAL,1.37,10-7 (+3),2-0 (+2),89%,1.11,22%,0,0,22%,Ash,Smoke
1,YSAERA,1.22,8-4 (+4),0-0 (+0),56%,0.89,56%,1,0,38%,IQ,Jager
