,Date,Team 1,Team 2,Team 1 Ban 1,Team 1 Ban 2,Team 1 Ban 3,Team 1 Pick 1,Team 2 Ban 1,Team 2 Ban 2,Team 2 Ban 3,Team 2 Pick 1,decider,Map 1 Round 1 Winner,Map 1 Round 1 Bombsite,Map 1 Round 1 Win Type,Map 1 Round 2 Winner,Map 1 Round 2 Bombsite,Map 1 Round 2 Win Type,Map 1 Round 3 Winner,Map 1 Round 3 Bombsite,Map 1 Round 3 Win Type,Map 1 Round 4 Winner,Map 1 Round 4 Bombsite,Map 1 Round 4 Win Type,Map 1 Round 5 Winner,Map 1 Round 5 Bombsite,Map 1 Round 5 Win Type,Map 1 Round 6 Winner,Map 1 Round 6 Bombsite,Map 1 Round 6 Win Type,Map 1 Round 7 Winner,Map 1 Round 7 Bombsite,Map 1 Round 7 Win Type,Map 2 Round 0 Winner,Map 2 Round 0 Bombsite,Map 2 Round 0 Win Type,Map 2 Round 1 Winner,Map 2 Round 1 Bombsite,Map 2 Round 1 Win Type,Map 2 Round 2 Winner,Map 2 Round 2 Bombsite,Map 2 Round 2 Win Type,Map 2 Round 3 Winner,Map 2 Round 3 Bombsite,Map 2 Round 3 Win Type,Map 2 Round 4 Winner,Map 2 Round 4 Bombsite,Map 2 Round 4 Win Type,Map 2 Round 5 Winner,Map 2 Round 5 Bombsite,Map 2 Round 5 Win Type,Map 2 Round 6 Winner,Map 2 Round 6 Bombsite,Map 2 Round 6 Win Type,Map 2 Round 7 Winner,Map 2 Round 7 Bombsite,Map 2 Round 7 Win Type,Map 3 Round 0 Winner,Map 3 Round 0 Bombsite,Map 3 Round 0 Win Type,Map 3 Round 1 Winner,Map 3 Round 1 Bombsite,Map 3 Round 1 Win Type,Map 3 Round 2 Winner,Map 3 Round 2 Bombsite,Map 3 Round 2 Win Type,Map 3 Round 3 Winner,Map 3 Round 3 Bombsite,Map 3 Round 3 Win Type,Map 3 Round 4 Winner,Map 3 Round 4 Bombsite,Map 3 Round 4 Win Type,Map 3 Round 5 Winner,Map 3 Round 5 Bombsite,Map 3 Round 5 Win Type,Map 1 Round 8 Winner,Map 1 Round 8 Bombsite,Map 1 Round 8 Win Type,Map 3 Round 6 Winner,Map 3 Round 6 Bombsite,Map 3 Round 6 Win Type,Map 1 Round 9 Winner,Map 1 Round 9 Bombsite,Map 1 Round 9 Win Type,Map 1 Round 10 Winner,Map 1 Round 10 Bombsite,Map 1 Round 10 Win Type,Map 1 Round 11 Winner,Map 1 Round 11 Bombsite,Map 1 Round 11 Win Type,Map 2 Round 8 Winner,Map 2 Round 8 Bombsite,Map 2 Round 8 Win Type,Map 2 Round 9 Winner,Map 2 Round 9 Bombsite,Map 2 Round 9 Win Type,Map 3 Round 7 Winner,Map 3 Round 7 Bombsite,Map 3 Round 7 Win Type,Map 3 Round 8 Winner,Map 3 Round 8 Bombsite,Map 3 Round 8 Win Type,Map 3 Round 9 Winner,Map 3 Round 9 Bombsite,Map 3 Round 9 Win Type,Map 2 Round 10 Winner,Map 2 Round 10 Bombsite,Map 2 Round 10 Win Type,Map 3 Round 10 Winner,Map 3 Round 10 Bombsite,Map 3 Round 10 Win Type,Map 1 Round 12 Winner,Map 1 Round 12 Bombsite,Map 1 Round 12 Win Type,Map 2 Round 11 Winner,Map 2 Round 11 Bombsite,Map 2 Round 11 Win Type,Map 2 Round 12 Winner,Map 2 Round 12 Bombsite,Map 2 Round 12 Win Type,Map 1 Round 13 Winner,Map 1 Round 13 Bombsite,Map 1 Round 13 Win Type,Map 3 Round 11 Winner,Map 3 Round 11 Bombsite,Map 3 Round 11 Win Type,Map 3 Round 12 Winner,Map 3 Round 12 Bombsite,Map 3 Round 12 Win Type,Map 4 Round 0 Winner,Map 4 Round 0 Bombsite,Map 4 Round 0 Win Type,Map 4 Round 1 Winner,Map 4 Round 1 Bombsite,Map 4 Round 1 Win Type,Map 4 Round 2 Winner,Map 4 Round 2 Bombsite,Map 4 Round 2 Win Type,Map 4 Round 3 Winner,Map 4 Round 3 Bombsite,Map 4 Round 3 Win Type,Map 4 Round 4 Winner,Map 4 Round 4 Bombsite,Map 4 Round 4 Win Type,Map 4 Round 5 Winner,Map 4 Round 5 Bombsite,Map 4 Round 5 Win Type,Map 4 Round 6 Winner,Map 4 Round 6 Bombsite,Map 4 Round 6 Win Type,Map 4 Round 7 Winner,Map 4 Round 7 Bombsite,Map 4 Round 7 Win Type,Map 4 Round 8 Winner,Map 4 Round 8 Bombsite,Map 4 Round 8 Win Type,Map 4 Round 9 Winner,Map 4 Round 9 Bombsite,Map 4 Round 9 Win Type,Map 4 Round 10 Winner,Map 4 Round 10 Bombsite,Map 4 Round 10 Win Type,Map 4 Round 11 Winner,Map 4 Round 11 Bombsite,Map 4 Round 11 Win Type,Map 4 Round 12 Winner,Map 4 Round 12 Bombsite,Map 4 Round 12 Win Type,Team 1 Pick 2,Team 2 Pick 2,Map 1 Round 14 Winner,Map 1 Round 14 Bombsite,Map 1 Round 14 Win Type,Map 1 Round 15 Winner,Map 1 Round 15 Bombsite,Map 1 Round 15 Win Type,Map 2 Round 13 Winner,Map 2 Round 13 Bombsite,Map 2 Round 13 Win Type,Map 2 Round 14 Winner,Map 2 Round 14 Bombsite,Map 2 Round 14 Win Type,Map 1 Round 16 Winner,Map 1 Round 16 Bombsite,Map 1 Round 16 Win Type,Map 1 Round 17 Winner,Map 1 Round 17 Bombsite,Map 1 Round 17 Win Type,Map 1 Round 18 Winner,Map 1 Round 18 Bombsite,Map 1 Round 18 Win Type,Map 1 Round 19 Winner,Map 1 Round 19 Bombsite,Map 1 Round 19 Win Type,Map 1 Round 20 Winner,Map 1 Round 20 Bombsite,Map 1 Round 20 Win Type,Map 1 Round 21 Winner,Map 1 Round 21 Bombsite,Map 1 Round 21 Win Type,Map 1 Round 22 Winner,Map 1 Round 22 Bombsite,Map 1 Round 22 Win Type,Map 1 Round 23 Winner,Map 1 Round 23 Bombsite,Map 1 Round 23 Win Type,Map 5 Round 0 Winner,Map 5 Round 0 Bombsite,Map 5 Round 0 Win Type,Map 5 Round 1 Winner,Map 5 Round 1 Bombsite,Map 5 Round 1 Win Type,Map 5 Round 2 Winner,Map 5 Round 2 Bombsite,Map 5 Round 2 Win Type,Map 5 Round 3 Winner,Map 5 Round 3 Bombsite,Map 5 Round 3 Win Type,Map 5 Round 4 Winner,Map 5 Round 4 Bombsite,Map 5 Round 4 Win Type,Map 5 Round 5 Winner,Map 5 Round 5 Bombsite,Map 5 Round 5 Win Type,Map 5 Round 6 Winner,Map 5 Round 6 Bombsite,Map 5 Round 6 Win Type,Map 5 Round 7 Winner,Map 5 Round 7 Bombsite,Map 5 Round 7 Win Type,Map 5 Round 8 Winner,Map 5 Round 8 Bombsite,Map 5 Round 8 Win Type,Map 5 Round 9 Winner,Map 5 Round 9 Bombsite,Map 5 Round 9 Win Type,Map 1 Round 24 Winner,Map 1 Round 24 Bombsite,Map 1 Round 24 Win Type,Map 3 Round 13 Winner,Map 3 Round 13 Bombsite,Map 3 Round 13 Win Type,Map 3 Round 14 Winner,Map 3 Round 14 Bombsite,Map 3 Round 14 Win Type,Team 1 Ban 4,Map 5 Round 10 Winner,Map 5 Round 10 Bombsite,Map 5 Round 10 Win Type,Map 5 Round 11 Winner,Map 5 Round 11 Bombsite,Map 5 Round 11 Win Type,Map 5 Round 12 Winner,Map 5 Round 12 Bombsite,Map 5 Round 12 Win Type,Map 5 Round 13 Winner,Map 5 Round 13 Bombsite,Map 5 Round 13 Win Type,Team 1 Pick 3,Map 4 Round 13 Winner,Map 4 Round 13 Bombsite,Map 4 Round 13 Win Type
12,Mar 27 2018,Era Eternity,Ronin Esports,Bank,Club House,Skyscraper,Oregon,Consulate,Chalet,Kafe,Border,Coastline,Era Eternity,Ventilation/Workshop,elimination,Era Eternity,Armory/Archives,round timer,Ronin Esports,Armory/Archives,elimination,Era Eternity,Ventilation/Workshop,elimination,Era Eternity,Ventilation/Workshop,elimination,Ronin Esports,Armory/Archives,elimination,Era Eternity,Armory/Archives,bomb defuse,Era Eternity,Dorms/Kids,elimination,Era Eternity,Laundry/Supply,elimination,Ronin Esports,Laundry/Supply,bomb defuse,Era Eternity,Laundry/Supply,bomb defuse,Era Eternity,Dorms/Kids,elimination,Era Eternity,Dorms/Kids,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Mar 27 2018,Evil Geniuses,Spacestation Gaming,Chalet,Coastline,Consulate,Kafe,Bank,Oregon,Skyscraper,Club House,Border,Evil Geniuses,Church/Arsenal,elimination,Spacestation Gaming,Church/Arsenal,bomb defuse,Evil Geniuses,Church/Arsenal,bomb defuse,Spacestation Gaming,Church/Arsenal,elimination,Evil Geniuses,Church/Arsenal,bomb defuse,Spacestation Gaming,Church/Arsenal,elimination,Evil Geniuses,Church/Arsenal,bomb defuse,Evil Geniuses,Bar/Cocktail,bomb defuse,Evil Geniuses,Bar/Cocktail,elimination,Evil Geniuses,Bar/Cocktail,bomb defuse,Spacestation Gaming,Mining/Dining,elimination,Evil Geniuses,Bar/Cocktail,elimination,Evil Geniuses,Bar/Cocktail,elimination,,,,,,,,,,,,,,,,,,,,,,,,,Spacestation Gaming,Bar/Stock,elimination,,,,Spacestation Gaming,Church/Arsenal,bomb defuse,Evil Geniuses,Church/Arsenal,bomb defuse,Evil Geniuses,Church/Arsenal,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Mar 13 2018,Ronin Esports,Evil Geniuses,,,,,,,,,,Evil Geniuses,Lockers/CCTV,elimination,Evil Geniuses,Lockers/CCTV,elimination,Evil Geniuses,Lockers/CCTV,elimination,Evil Geniuses,CEO/Lounge,elimination ,Evil Geniuses,Tellers/Archives,elimination,,,,,,,Evil Geniuses,Dorms/Kids,elimination,Evil Geniuses,Dorms/Kids,elimination,Evil Geniuses,Dorms/Kids,elimination,Ronin Esports,Laundry/Supply,elimination,Ronin Esports,Dorms/Kids,round timer,Evil Geniuses,Dorms/Kids,elimination,Evil Geniuses,Laundry/Supply,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mar 13 2018,Era Eternity,Spacestation Gaming,,,,,,,,,,Era Eternity,Armory/Archives,elimination,Spacestation Gaming,Armory/Archives,elimination,Spacestation Gaming,Armory/Archives,elimination,Era Eternity,Ventilation/Workshop,elimination,Era Eternity,Ventilation/Workshop,elimination,Era Eternity,Ventilation/Workshop,elimination,Spacestation Gaming,Armory/Archives,elimination,Era Eternity,Laundry/Supply,elimination,Spacestation Gaming,Laundry/Supply,round timer,Spacestation Gaming,Dorms/Kids,elimination,Era Eternity,Dorms/Kids,elimination,Spacestation Gaming,Laundry/Supply,elimination,Era Eternity,Laundry/Supply,elimination,Spacestation Gaming,Laundry/Supply,elimination,Spacestation Gaming,Laundry/Supply,round timer,Spacestation Gaming,Bar/Cocktail,elimination,Spacestation Gaming,Bar/Cocktail,elimination,Era Eternity,Mining/Dining,elimination,Era Eternity,Mining/Dining,elimination,Spacestation Gaming,Bar/Cocktail,elimination,Spacestation Gaming,Bar/Cocktail,elimination,Era Eternity,Armory/Archives,elimination ,Spacestation Gaming,Mining/Dining,bomb defuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Mar 20 2018,Rogue,Counter Logic Gaming,Chalet,Club House,Oregon,Kafe,Skyscraper,Border,Coastline,Bank,Consulate,Rogue,CEO/Lounge,elimination,Counter Logic Gaming,Lockers/CCTV,round timer,Counter Logic Gaming,Lockers/CCTV,elimination,Rogue,Tellers/Archives,elimination,Rogue,Lockers/CCTV,elimination,Rogue,Lockers/CCTV,elimination,Counter Logic Gaming,Open Area/Kitchen,elimination,Rogue,Mining/Dining,elimination,Rogue,Bar/Cocktail,elimination,Rogue,Mining/Dining,elimination,Rogue,Mining/Dining,round timer,Counter Logic Gaming,Bar/Cocktail,elimination,Rogue,Bar/Cocktail,elimination,,,,,,,,,,,,,,,,,,,,,,,,,Rogue,Lockers/CCTV,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mar 20 2018,SK Gaming,Mousesports,Club House,Consulate,Oregon,Bank,Skyscraper,Border,Coastline,Kafe,Chalet,SK Gaming,Tellers/Archives,elimination,SK Gaming,Lockers/CCTV,elimination,Mousesports,Lockers/CCTV,elimination,SK Gaming,CEO/Lounge,elimination,SK Gaming,Tellers/Archives,elimination,Mousesports,Lockers/CCTV,elimination,Mousesports,Tellers/Archives,elimination,Mousesports,Bar/Cocktail,elimination,SK Gaming,Mining/Dining,elimination,SK Gaming,Mining/Dining,elimination,Mousesports,Bar/Cocktail,elimination,SK Gaming,Bar/Cocktail,elimination ,Mousesports,Mining/Dining,elimination,Mousesports,Bar/Cocktail,elimination,SK Gaming,Bar/Cocktail,elimination,,,,,,,,,,,,,,,,,,,SK Gaming,Lockers/CCTV,elimination,,,,,,,,,,,,,SK Gaming,Bar/Cocktail,elimination,SK Gaming,Bar/Cocktail,round timer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,May 6 2018,i don't know,Team Oplon,,,,,,,,,,i don't know,Wine Cellar/Snowmobile,elimination,Team Oplon,Wine Cellar/Snowmobile,elimination,i don't know,Wine Cellar/Snowmobile,elimination,i don't know,Kitchen/Trophy,elimination,i don't know,Kitchen/Trophy,elimination,Team Oplon,Wine Cellar/Snowmobile,elimination,Team Oplon,Wine Cellar/Snowmobile,elimination,i don't know,Dorms/Kids,elimination,i don't know,Laundry/Supply,elimination,i don't know,Laundry/Supply,elimination,Team Oplon,Dorms/Kids,elimination,i don't know,Dorms/Kids,elimination,i don't know,Laundry/Supply,elimination,,,,,,,,,,,,,,,,,,,,,,,,,i don't know,Kitchen/Trophy,round timer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,May 6 2018,ENCE eSports,Supremacy,Skyscraper,Coastline,Kafe,Border,Chalet,Consulate,Club House,Oregon,Bank,Supremacy,Armory/Archives,elimination,ENCE eSports,Armory/Archives,elimination,ENCE eSports,Ventilation/Workshop,elimination,Supremacy,Ventilation/Workshop,elimination,Supremacy,Armory/Archives,elimination,ENCE eSports,Armory/Archives,elimination,Supremacy,Ventilation/Workshop,elimination,ENCE eSports,Laundry/Supply,elimination,Supremacy,Laundry/Supply,site retake and defuser disable,ENCE eSports,Dorms/Kids,elimination,Supremacy,Dorms/Kids,elimination,ENCE eSports,Laundry/Supply,elimination,ENCE eSports,Laundry/Supply,elimination,Supremacy,Dorms/Kids,elimination,Supremacy,Laundry/Supply,site retake and defuser disable,Supremacy,Lockers/CCTV,elimination,Supremacy,Lockers/CCTV,elimination,Supremacy,Tellers/Archives,elimination,ENCE eSports,Tellers/Archives,site retake and defuser disable,Supremacy,Lockers/CCTV,site retake and defuser disable,Supremacy,Lockers/CCTV,elimination,Supremacy,Ventilation/Workshop,elimination,,,,,,,,,,,,,ENCE eSports,Dorms/Kids,elimination,Supremacy,Laundry/Supply,elimination,,,,,,,,,,ENCE eSports,Laundry/Supply,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Apr 26 2018,PENTA Sports,Millenium,Consulate,Chalet,Club House,Border,Bank,Coastline,Oregon,Kafe,Skyscraper,PENTA Sports,Mining/Dining,elimination,Millenium,Bar/Cocktail,elimination,Millenium,Bar/Cocktail,elimination,Millenium,Mining/Dining,elimination,PENTA Sports,Mining/Dining,elimination,PENTA Sports,Bar/Cocktail,elimination,Millenium,Bar/Cocktail,elimination,Millenium,Armory/Archives,elimination,PENTA Sports,Armory/Archives,round timer ,Millenium,Tellers/Bathroom,site retake and defuser disable,Millenium,Ventilation/Workshop,elimination,PENTA Sports,Ventilation/Workshop,elimination,Millenium,Armory/Archives,elimination,PENTA Sports,Tellers/Bathroom,elimination,Millenium,Ventilation/Workshop,elimination,Millenium,Kitchen/Bbq,elimination,PENTA Sports,Tea/Karaoke,site retake and defuser disable,PENTA Sports,Tea/Karaoke,elimination,PENTA Sports,Kitchen/Bbq,elimination,Millenium,Kitchen/Bbq,elimination,Millenium,Tea/Karaoke,elimination,PENTA Sports,Bar/Cocktail,elimination,PENTA Sports,Tea/Karaoke,elimination,PENTA Sports,Mining/Dining,elimination,PENTA Sports,Mining/Dining,elimination,,,,,,,,,,PENTA Sports,Kitchen/Bbq,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Apr 23 2018,ENCE eSports,Team Oplon,,,,,,,,,,ENCE eSports,CEO/Meeting,elimination,ENCE eSports,Garage/Cafeteria,elimination,ENCE eSports,Garage/Cafeteria,elimination,Team Oplon,Garage/Cafeteria,elimination,Team Oplon,CEO/Meeting,elimination,ENCE eSports,CEO/Meeting,elimination,ENCE eSports,Garage/Cafeteria,elimination,Team Oplon,Laundry/Supply,bomb defuse,Team Oplon,Laundry/Supply,elimination,ENCE eSports,Laundry/Supply,elimination,Team Oplon,Dorms/Kids,elimination,ENCE eSports,Dorms/Kids,elimination,ENCE eSports,Laundry/Supply,elimination,Team Oplon,Laundry/Supply,elimination,Team Oplon,Laundry/Supply,elimination,ENCE eSports,Armory/Archives,elimination,ENCE eSports,Armory/Archives,elimination,ENCE eSports,Ventilation/Workshop,round timer,ENCE eSports,Armory/Archives,elimination,Team Oplon,Armory/Archives,elimination,ENCE eSports,Ventilation/Workshop,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Apr 19 2018,1UP Esport,Millenium,Consulate,Skyscraper,Club House,Border,Chalet,Oregon,Bank,Coastline,Kafe,Millenium,Penthouse/Theater,elimination,1UP Esport,Kitchen/Service,elimination,1UP Esport,Blue/Sunrise,elimination,Millenium,Blue/Sunrise,elimination,Millenium,Kitchen/Service,elimination,1UP Esport,Kitchen/Service,elimination,1UP Esport,Penthouse/Theater,bomb defuse,Millenium,Tellers/Bathroom,site retake and defuser disable,Millenium,Armory/Archives,elimination,1UP Esport,Armory/Archives,elimination,1UP Esport,Customs/Supply,site retake and defuser disable,Millenium,Tellers/Bathroom,elimination,Millenium,Ventilation/Workshop,elimination,1UP Esport,Ventilation/Workshop,elimination,Millenium,Armory/Archives,elimination,,,,,,,,,,,,,,,,,,,Millenium,Penthouse/Theater,elimination,,,,1UP Esport,Kitchen/Service,elimination ,Millenium,Penthouse/Theater,round timer,Millenium,Penthouse/Theater,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Apr 19 2018,PENTA Sports,Team Vitality,Chalet,Skyscraper,Kafe,Oregon,Consulate,Bank,Club House,Border,Coastline,PENTA Sports,Ventilation/Workshop,site retake and defuser disable,PENTA Sports,Armory/Archives,elimination,PENTA Sports,Armory/Archives,elimination,PENTA Sports,Tellers/Bathroom,elimination,Team Vitality,Ventilation/Workshop,elimination,PENTA Sports,Ventilation/Workshop,elimination,,,,Team Vitality,Dorms/Kids,elimination,PENTA Sports,Dorms/Kids,elimination,PENTA Sports,Tower/Rear Stage,elimination,Team Vitality,Laundry/Supply,elimination,Team Vitality,Dorms/Kids,elimination,Team Vitality,Dorms/Kids,elimination,PENTA Sports,Laundry/Supply,elimination,Team Vitality,Dorms/Kids,elimination,Team Vitality,Kitchen/Service,elimination,PENTA Sports,Kitchen/Service,elimination,PENTA Sports,Blue/Sunrise,elimination,Team Vitality,Penthouse/Theater,site retake and defuser disable,PENTA Sports,Penthouse/Theater,elimination,Team Vitality,Blue/Sunrise,elimination,,,,PENTA Sports,Blue/Sunrise,round timer,,,,,,,,,,,,,,,,PENTA Sports,Kitchen/Service,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Apr 12 2018,Digital Chaos,Team Vitality,Club House,Chalet,Bank,Oregon,Consulate,Kafe,Border,Coastline,Skyscraper,Team Vitality,Blue/Sunrise,elimination,Team Vitality,Blue/Sunrise,elimination,Digital Chaos,Kitchen/Service,elimination,Team Vitality,Penthouse/Theater,elimination,Team Vitality,Hookah/Billiards,elimination,Digital Chaos,Penthouse/Theater,elimination,Team Vitality,Penthouse/Theater,elimination,Team Vitality,Dorms/Kids,elimination,Team Vitality,Laundry/Supply,elimination,Digital Chaos,Laundry/Supply,elimination,Team Vitality,Laundry/Supply,elimination,Team Vitality,Tower/Rear Stage,elimination,Digital Chaos,Dorms/Kids,round timer,Team Vitality,Kitchen/Dining,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Apr 12 2018,Mock-it-Esports,Millenium,Consulate,Chalet,Skyscraper,Bank,Oregon,Club House,Coastline,Kafe,Border,Mock-it-Esports,Open Area/Kitchen,elimination,Millenium,Lockers/CCTV,elimination,Mock-it-Esports,Lockers/CCTV,elimination,Mock-it-Esports,Tellers/Archives,round timer,Mock-it-Esports,Lockers/CCTV,bomb defuse,Millenium,Lockers/CCTV,elimination,Mock-it-Esports,Open Area/Kitchen,elimination ,Millenium,Bar/Cocktail,site retake and defuser disable,Mock-it-Esports,Mining/Dining,round timer,Millenium,Mining/Dining,round timer,Mock-it-Esports,Bar/Cocktail,elimination,Mock-it-Esports,Bar/Cocktail,elimination,Millenium,Mining/Dining,elimination,Millenium,Bar/Cocktail,elimination,Mock-it-Esports,Bar/Cocktail,round timer,Millenium,Armory/Archives,elimination,Mock-it-Esports,Ventilation/Workshop,elimination,Mock-it-Esports,Customs/Supply,elimination,Mock-it-Esports,Armory/Archives,round timer,Millenium,Armory/Archives,elimination,Mock-it-Esports,Ventilation/Workshop,elimination,,,,Millenium,Ventilation/Workshop,elimination,,,,,,,,,,Mock-it-Esports,Bar/Cocktail,elimination ,Millenium,Bar/Cocktail,elimination,Millenium,Armory/Archives,elimination,Mock-it-Esports,Armory/Archives,elimination,Millenium,Ventilation/Workshop,elimination,Millenium,Mining/Dining,elimination,Millenium,Armory/Archives,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Apr 5 2018,ENCE eSports,Team Vitality,Skyscraper,Kafe,Bank,Border,Consulate,Oregon,Club House,Coastline,Chalet,Team Vitality,Armory/Archives,elimination,ENCE eSports,Armory/Archives,round timer,ENCE eSports,Ventilation/Workshop,elimination,Team Vitality,Ventilation/Workshop,elimination,Team Vitality,Tellers/Bathroom,elimination,Team Vitality,Armory/Archives,elimination,ENCE eSports,Customs/Supply,elimination,Team Vitality,Penthouse/Theater,elimination,Team Vitality,Kitchen/Service,elimination,Team Vitality,Kitchen/Service,elimination,ENCE eSports,Penthouse/Theater,elimination,ENCE eSports,Kitchen/Service,round timer,Team Vitality,Blue/Sunrise,elimination,Team Vitality,Penthouse/Theater,elimination,,,,,,,,,,,,,,,,,,,,,,Team Vitality,Armory/Archives,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
